"team_market.x","rank_Poll_1","rank_Poll_2","rank_Poll_3","rank_Poll_4","rank_Poll_5","rank_Poll_6","rank_Poll_7","rating_Poll_1","rating_Poll_2","rating_Poll_3","rating_Poll_4","rating_Poll_5","rating_Poll_6","rating_Poll_7","n_Poll_1","n_Poll_2","n_Poll_3","n_Poll_4","n_Poll_5","n_Poll_6","n_Poll_7","wins_Poll_1","wins_Poll_2","wins_Poll_3","wins_Poll_4","wins_Poll_5","wins_Poll_6","wins_Poll_7","losses_Poll_1","losses_Poll_2","losses_Poll_3","losses_Poll_4","losses_Poll_5","losses_Poll_6","losses_Poll_7","draws_Poll_1","draws_Poll_2","draws_Poll_3","draws_Poll_4","draws_Poll_5","draws_Poll_6","draws_Poll_7","total_goals_Poll_1","total_goals_Poll_2","total_goals_Poll_3","total_goals_Poll_4","total_goals_Poll_5","total_goals_Poll_6","total_goals_Poll_7"
"UCLA",62,63,71,66,64,73,64,0.655300384687423,0.697247915920164,0.568008192539898,0.712958321304425,0.786241956508752,0.633199883844798,0.737066919140045,2,4,5,7,8,10,11,2,3,3,4,5,5,6,0,1,2,2,2,4,4,0,0,0,1,1,1,1,2,9,9,11,12,12,14
"Syracuse",63,47,40,27,36,36,24,0.653764131529983,0.870132116536223,1.15676031589316,1.45278831755666,1.32245578929798,1.34006381444895,1.71578543733977,2,4,6,8,9,11,13,2,3,5,7,7,8,10,0,0,0,0,1,2,2,0,1,1,1,1,1,1,3,9,11,15,15,19,27
"UNCW",64,58,54,50,53,47,70,0.646437596208512,0.75352329283461,0.848067016408737,1.04541839611729,0.95118171453391,1.06424765624692,0.652862053997457,2,3,5,7,8,9,11,0,1,2,3,3,4,4,1,1,1,1,1,1,3,1,1,2,3,4,4,4,0,2,5,7,9,10,11
"Michigan",65,78,84,84,90,91,99,0.568089042787327,0.44332375579148,0.403027883276551,0.330902341158102,0.246482412323335,0.262154573011759,0.0567426575403012,2,4,6,8,10,11,13,1,1,2,2,3,3,3,1,2,3,4,5,5,7,0,1,1,2,2,3,3,1,1,3,4,7,9,11
"San Jose St.",66,85,91,87,85,77,72,0.545548262877503,0.30346310857475,0.162174470395156,0.253753865236121,0.387191864388989,0.543232562432223,0.617677093502674,2,4,5,6,7,9,10,1,1,1,2,3,4,5,1,2,3,3,3,3,3,0,1,1,1,1,2,2,3,4,4,7,9,13,15
"Drexel",67,74,80,78,74,83,76,0.538175137143331,0.510998619551648,0.461463925180872,0.452129102523831,0.641605646019912,0.474650991801827,0.58013615711734,2,4,6,8,9,10,11,1,2,2,3,4,4,5,0,1,1,2,2,3,3,1,1,3,3,3,3,3,4,8,9,12,17,17,20
"Utah Valley",68,77,82,83,86,88,96,0.537821509128705,0.446776215739369,0.430080794781518,0.353690048711673,0.353690048711673,0.353690048711673,0.131371231411735,2,3,5,6,6,6,8,1,1,2,2,2,2,2,0,1,2,3,3,3,5,1,1,1,1,1,1,1,2,3,6,8,8,8,10
"Oakland",69,93,95,98,112,94,104,0.515812930363683,0.21290854266903,0.10311877466854,0.119394747696569,-0.131460653801158,0.11725448875396,-0.0245868143672086,2,4,6,7,8,10,11,0,0,0,0,0,2,2,2,4,5,5,6,6,7,0,0,1,2,2,2,2,1,2,4,4,4,7,7
"Portland",70,44,43,40,34,31,30,0.491898524546936,0.938326138833035,1.07486544226994,1.18222110421881,1.36792909247423,1.46463212577186,1.53282265826969,2,4,5,7,9,10,11,0,2,3,4,6,7,8,0,0,0,0,0,0,0,2,2,2,3,3,3,3,5,13,15,17,25,27,28
"Western Mich.",71,67,55,45,28,28,21,0.485433515626362,0.660941621962333,0.848059442032306,1.13488584643074,1.50626406467461,1.58710891324031,1.74133443324706,1,3,4,6,8,9,11,0,2,3,5,7,8,9,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,3,6,13,17,24,28
"Marquette",72,73,74,75,81,89,89,0.422828375388907,0.523962799252183,0.541601289296122,0.548036064324638,0.497340687668918,0.349024808938179,0.250533671668688,2,3,5,7,9,10,12,1,2,3,4,4,4,4,1,1,2,3,4,5,6,0,0,0,0,1,1,2,8,9,14,21,22,23,26
"Elon",73,89,75,73,75,60,65,0.411965348463817,0.275389831095335,0.530669376144672,0.574220080354375,0.628566649512377,0.809501068809113,0.681479894685709,2,3,5,7,8,10,12,2,2,4,5,6,7,7,0,1,1,2,2,2,3,0,0,0,0,0,1,2,5,6,9,11,13,16,16
"Monmouth",74,86,88,93,89,86,87,0.400081182874048,0.291558618445046,0.210862983329516,0.172100383236623,0.260847547224498,0.380691119168873,0.344176660264209,2,3,4,6,8,9,11,2,2,2,3,4,5,6,0,1,2,3,4,4,5,0,0,0,0,0,0,0,3,3,3,6,9,12,13
"Central Ark.",75,81,78,80,79,87,85,0.376823100920546,0.385094578466716,0.493437945531138,0.426767685138267,0.506781146951432,0.357428982839299,0.442522162154454,2,4,5,7,8,10,11,0,1,2,3,4,4,5,1,2,2,3,3,4,4,1,1,1,1,1,2,2,3,6,8,13,16,18,22
"NC State",76,83,93,101,94,92,102,0.32874483642895,0.333136701300417,0.142268406602763,0.0471057047992356,0.179718238381145,0.235885054704136,0.0305904709296783,2,3,5,6,7,9,11,2,2,2,2,3,4,4,0,0,2,3,3,4,5,0,1,1,1,1,1,2,6,7,7,7,8,10,10
"Fordham",77,64,63,68,59,58,68,0.316791097833466,0.687573531303033,0.699548694896878,0.704996807123462,0.841971380083177,0.848684414544127,0.664340030713774,2,4,6,7,9,10,12,0,2,2,2,3,3,3,1,1,1,1,1,1,2,1,1,3,4,5,6,7,1,6,8,10,14,16,19
"Cleveland St.",78,79,79,79,80,72,59,0.306097125576542,0.430737398521327,0.492474877172754,0.443678715700936,0.499541881765005,0.646856112097056,0.798484675762528,2,3,5,6,8,10,11,2,3,4,4,5,7,8,0,0,1,1,1,1,1,0,0,0,1,2,2,2,6,10,13,14,18,23,24
"UTRGV",79,97,104,92,95,115,110,0.298919020779866,0.146880004844886,0.0326977487137422,0.176009332636741,0.165267081715227,-0.163069553569282,-0.0825121512438295,2,3,4,5,6,8,10,1,1,1,2,2,2,3,0,1,2,2,2,4,4,1,1,1,1,2,2,3,4,6,6,10,10,11,14
"Duquesne",80,72,66,63,62,62,57,0.295957803500409,0.5343893943432,0.632817569510251,0.76760619037632,0.808592608397027,0.787720622299001,0.83909352231588,2,4,6,7,8,10,12,2,4,5,6,6,7,8,0,0,0,0,0,1,1,0,0,1,1,2,2,3,2,6,14,16,16,18,19
"Fairleigh Dickinson",81,84,99,115,123,114,105,0.292860370029887,0.310720053446303,0.0755933337255066,-0.186934668968619,-0.29721388694847,-0.162140530816625,-0.0281872909131811,2,4,6,7,9,10,12,1,2,2,2,3,4,5,0,1,3,4,5,5,5,1,1,1,1,1,1,2,2,4,6,7,9,11,18
"Lafayette",82,71,73,65,67,69,71,0.291456027941289,0.537650046227141,0.560159794421723,0.751859210977641,0.734416825899128,0.673869499442717,0.633780756002614,2,4,6,8,9,11,13,1,3,4,6,6,7,8,1,1,2,2,2,3,4,0,0,0,0,1,1,1,2,6,10,14,14,15,18
"Air Force",83,91,85,89,87,79,62,0.256617430976847,0.24642716417295,0.368628140884595,0.227507024241315,0.312453068057765,0.523884981440448,0.793025252095034,2,4,5,6,7,9,11,0,0,0,0,1,3,5,2,3,3,4,4,4,4,0,1,2,2,2,2,2,2,3,4,5,6,11,16
"UC Riverside",84,114,141,135,143,145,138,0.252226399651709,-0.157581019710561,-0.530444356806389,-0.479952480156163,-0.586110527277041,-0.652584579278146,-0.544393729739281,2,4,6,7,8,10,12,1,1,1,1,1,2,3,1,3,4,4,5,6,6,0,0,1,2,2,2,3,4,5,7,8,9,10,13
"Quinnipiac",85,80,81,81,77,81,73,0.250628552940329,0.392920440397481,0.450682110006705,0.424500320251096,0.582271601983388,0.502426919507283,0.609506741483301,2,4,5,7,8,10,11,1,2,3,4,5,6,7,1,1,1,2,2,3,3,0,1,1,1,1,1,1,4,9,11,17,24,28,31
"Rutgers",86,90,72,69,63,70,67,0.242620979309336,0.253555220191387,0.561508909786799,0.69488255636959,0.803029351698961,0.657759923413203,0.67757581792577,2,4,6,7,9,11,12,1,1,3,4,5,5,5,1,1,1,1,1,2,2,0,2,2,2,3,4,5,5,8,15,19,22,26,28
"Mercer",87,82,107,102,98,103,107,0.19592721359827,0.370797846504174,0.00229654574722832,0.0427831355938044,0.0843203963647439,-0.0475315644916734,-0.0494917909599597,2,4,6,8,10,12,13,1,2,2,3,4,4,4,0,0,2,2,2,3,3,1,2,2,3,4,5,6,6,10,12,16,19,20,20
"Boston College",88,106,112,108,115,118,117,0.185272602006045,-0.0135827893943312,-0.0783538146450942,-0.0645305000320082,-0.15051589345771,-0.206470313292554,-0.180615149172618,2,4,5,7,8,9,11,2,2,2,2,2,2,3,0,1,2,2,3,4,5,0,1,1,3,3,3,3,8,9,10,11,11,12,14
"VCU",89,102,94,104,106,105,101,0.13831120044292,0.0465611134532432,0.122806347901088,0.0172111475906404,-0.0512720544529456,-0.0512720544529456,0.0309624471968074,2,3,4,7,9,9,12,0,0,0,0,0,0,1,2,3,3,4,5,5,6,0,0,1,3,4,4,5,1,1,3,7,7,7,10
"UMBC",90,75,90,91,101,104,91,0.128095192237621,0.493023542048836,0.191849700592861,0.195337209402901,0.0427024575575349,-0.0490871579761819,0.235121481203468,2,4,6,8,9,10,12,2,4,4,5,5,5,7,0,0,1,2,3,4,4,0,0,1,1,1,1,1,10,16,18,22,22,22,31
"Milwaukee",91,99,106,128,134,136,134,0.123912512513483,0.116166413747205,0.0100528607735204,-0.388466150936717,-0.464129065869983,-0.513700293407836,-0.51744140306118,2,4,6,8,9,11,12,0,1,1,1,1,1,1,2,3,3,5,6,6,6,0,0,2,2,2,4,5,0,4,6,8,11,15,16
"Butler",92,92,98,106,83,76,75,0.120696832746141,0.236742380449231,0.0887603939796322,-0.00253468058298262,0.396942414412722,0.549210078647225,0.586421235294183,2,3,4,6,8,9,11,2,3,3,3,5,6,7,0,0,1,2,2,2,3,0,0,0,1,1,1,1,3,5,5,7,20,23,29
"Furman",93,96,101,90,97,102,106,0.102354334551136,0.186474998523965,0.0498609195880787,0.217512085440451,0.0987683397962014,-0.0443692797043577,-0.0481290205384554,2,3,4,6,7,9,10,1,2,2,4,4,4,4,0,0,1,1,2,3,3,1,1,1,1,1,2,3,2,4,4,9,10,11,11
"Liberty",94,105,92,103,113,113,111,0.0968031253798752,0.0150617992928134,0.15187048757591,0.0349428451719721,-0.13646782233909,-0.151361033939684,-0.0959820683861212,2,3,5,6,8,9,11,1,1,2,2,2,2,3,0,1,1,2,3,3,3,1,1,2,2,3,4,5,4,6,8,8,10,12,17
"Dayton",95,88,64,71,54,49,53,0.0800985394133225,0.279482746619069,0.673412263986375,0.627300197278255,0.927389786972797,1.02506985193815,0.936553963115243,2,3,5,6,8,9,11,2,3,5,5,7,8,8,0,0,0,0,0,0,0,0,0,0,1,1,1,3,9,14,20,21,25,29,30
"Merrimack",96,116,100,110,102,112,109,0.0696306806730564,-0.236983845552663,0.0499400191139767,-0.103813518895274,0.01541868901316,-0.107410531745253,-0.0801014162264892,2,4,6,8,9,10,11,1,1,3,3,4,4,4,1,3,3,4,4,5,5,0,0,0,1,1,1,2,4,4,9,10,12,12,13
"UIC",97,100,86,105,96,93,100,0.0641041818039449,0.0788255809909408,0.344965691379341,0.00871635550716326,0.143129263385665,0.189064326134014,0.0419276336533414,2,3,5,7,8,9,10,0,0,2,2,3,3,3,2,2,2,4,4,4,5,0,1,1,1,1,2,2,1,1,5,7,10,13,13
"UC Irvine",98,113,131,146,150,148,149,0.0365365750664776,-0.129230548568666,-0.419679006438789,-0.595484448757712,-0.665376535310975,-0.694992382188873,-0.666031107384262,2,4,6,8,9,11,13,0,0,0,0,0,1,2,2,3,5,7,8,9,10,0,1,1,1,1,1,1,0,1,4,5,5,9,10
"Villanova",99,95,97,88,84,84,86,0.0360107992980403,0.19162137378132,0.0893853820666724,0.227801256004672,0.388482000529529,0.430341251261198,0.422844867540405,2,3,4,6,7,9,11,0,1,1,2,3,4,5,1,1,2,2,2,3,4,1,1,1,2,2,2,2,1,5,5,9,13,15,17
"Siena",100,111,96,86,104,98,95,0.0317413007920141,-0.0940854665629908,0.100268441832186,0.290907113353991,-0.0103014735345519,0.072321590726412,0.165619124672642,2,4,5,6,8,10,12,2,2,3,4,4,5,6,0,1,1,1,3,3,3,0,1,1,1,1,2,3,3,4,12,14,15,17,19
"Rider",101,112,119,111,122,137,129,0.00413280591504236,-0.127753053243192,-0.24392729047081,-0.124088463136917,-0.275470476129077,-0.514658200065213,-0.414052508053137,2,3,4,6,7,8,10,0,0,0,1,1,1,2,2,3,4,4,5,6,6,0,0,0,1,1,1,2,0,1,2,6,6,6,9
"Boston U.",102,98,103,117,116,122,115,-0.0102715712951315,0.143289078008779,0.0364030099843503,-0.203215202982137,-0.182877398600017,-0.276979872258176,-0.166733881213607,2,4,5,7,8,11,12,1,2,2,2,2,2,3,0,0,1,2,2,3,3,1,2,2,3,4,6,6,2,4,5,5,5,8,10
"Xavier",103,94,83,72,78,68,61,-0.0201064076615791,0.202833994017665,0.429310670268665,0.579088852018546,0.579892366242428,0.674786197975731,0.793507383765143,2,4,6,8,9,10,12,1,3,5,6,6,7,8,0,0,0,0,0,0,0,1,1,1,2,3,3,4,2,6,10,15,15,16,18
